Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 12:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 1:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8477 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
911,48.59,80.8,,87.8,93.53,100.0,0.8,2.5,83.7
"1,026",80.31,118.6,,153.4,94.90,111.6,1.2,4.4,144.0
"1,214",47.05,58.7,,93.2,96.10,118.7,0.7,2.6,86.4
"1,342",46.93,53.0,,95.3,96.92,120.4,0.7,2.7,87.5
"1,415",41.40,44.3,,85.3,97.39,124.2,0.6,2.4,77.9
"1,503",86.25,87.0,,180.6,97.94,123.3,1.3,5.0,164.0
"1,684",81.06,72.9,,175.6,99.10,115.8,1.4,4.8,157.5
"1,912",127.51,101.0,,287.9,100.56,101.7,3.9,7.7,254.5
"4,281",16.29,5.8,,38.7,105.92,38.7,0.9,1.0,32.4
"4,793",16.49,5.2,,39.3,106.57,40.1,0.9,1.0,32.7
"5,476",13.81,3.8,,33.0,107.42,35.7,0.9,0.8,27.2
"6,603",20.91,4.8,,50.2,108.84,26.4,2.3,1.2,40.9
"8,638",3.19,0.6,,8.1,111.11,13.1,0.6,0.0,6.4
"10,380",75.00,10.9,Upper Marker,199.8,113.00,120.7,3.6,0.0,156.5
"12,953",0.00,0.0,,6.8,115.79,8.4,0.9,0.0,5.2
"13,706",0.00,0.0,,3.2,116.60,5.2,0.6,0.0,2.4
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,0.0,0,0,0.0,0.00,0.0,32768
Region 2,59.90,90.65,"2,880.7",64,432,29.1,"2,002.68","7,987.6",255
Region 3,59.90,110.42,"4,449.4",99,"1,032",100.0,"2,850.16","8,951.8",16711680
 
 
Sample Name,L8574 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,54.1,43.00,103.7,1.6,0.0,117.1
125,65.43,791.0,,32.5,53.04,69.1,1.0,1.2,56.0
224,5.90,39.9,,4.0,62.04,5.7,0.8,0.1,5.8
229,7.23,47.9,,5.0,62.47,9.3,0.6,0.2,7.2
266,67.20,382.3,,50.9,65.86,18.5,3.3,1.5,69.8
275,26.14,144.1,,20.2,66.63,21.8,0.9,0.6,27.4
283,21.64,115.8,,17.1,67.36,24.1,0.6,0.5,22.9
295,21.49,110.2,,17.5,68.48,27.9,0.6,0.5,23.0
312,37.59,182.6,,31.9,69.85,29.8,0.9,0.9,41.1
324,39.66,185.4,,34.6,70.84,31.0,1.0,1.0,44.0
338,24.50,110.0,,22.1,71.91,32.5,0.6,0.6,27.6
350,30.74,132.9,,28.6,72.94,32.5,0.8,0.8,35.2
401,29.97,113.4,,31.2,76.97,34.0,0.8,0.8,36.4
406,26.11,97.5,,27.3,77.27,34.8,0.7,0.7,31.7
426,34.96,124.4,,37.2,78.39,37.3,0.9,0.9,42.5
453,35.39,118.4,,38.5,79.93,41.9,0.8,0.9,43.1
492,44.28,136.5,,49.6,82.12,49.8,0.9,1.2,54.0
536,44.49,125.7,,53.1,84.35,54.6,0.9,1.2,56.2
563,36.56,98.4,,45.4,85.63,58.9,0.7,1.0,47.4
630,35.38,85.1,,46.4,88.38,74.4,0.6,1.0,46.8
748,224.08,454.1,,300.4,91.30,104.9,2.9,6.3,293.0
814,74.15,138.0,,103.4,92.20,114.0,0.8,2.2,99.9
"1,335",528.13,599.4,,875.3,96.87,246.9,4.2,17.3,802.6
"1,617",360.83,338.1,,630.7,98.67,319.1,1.9,12.3,567.4
"1,738",168.94,147.3,,302.0,99.45,343.3,0.8,5.8,269.5
"1,919",274.85,217.0,,507.7,100.60,372.0,1.2,9.7,447.7
"2,067",869.26,637.3,,"1,632.5",101.33,376.1,9.5,30.9,"1,428.9"
"8,202",1.75,0.3,,3.6,110.64,5.8,0.8,-0.1,2.8
"10,380",75.00,10.9,Upper Marker,163.2,113.00,119.9,3.7,0.0,127.6
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,58.9,1,125,2.4,68.84,833.5,32768
Region 2,59.90,90.65,"1,465.8",27,480,27.6,"1,218.75","4,419.5",255
Region 3,59.90,110.42,"5,256.4",99,"1,607",66.4,"3,655.62","6,774.0",16711680
 
 
Sample Name,L8575 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,51.0,43.00,108.2,1.1,0.0,111.2
126,5.32,63.8,,3.3,53.14,8.9,0.6,0.2,5.7
275,397.12,"2,188.3",,378.6,66.64,84.7,7.1,15.2,519.4
281,57.56,310.0,,55.7,67.21,87.5,0.6,2.2,75.8
296,60.79,311.3,,61.0,68.52,88.3,0.6,2.4,81.3
309,76.66,375.9,,79.4,69.61,85.2,0.8,3.0,104.1
320,67.43,319.4,,71.8,70.48,81.4,0.8,2.7,92.8
329,174.86,805.1,,190.3,71.23,77.9,2.3,7.1,243.6
359,65.18,274.7,,76.3,73.67,66.5,1.0,2.8,94.2
371,80.46,328.2,,96.8,74.64,61.3,1.4,3.5,117.9
390,33.35,129.6,,41.8,76.12,56.5,0.7,1.5,49.9
404,34.14,128.0,,43.9,77.17,56.2,0.7,1.5,51.7
416,37.87,137.8,,49.2,77.87,55.7,0.8,1.7,57.4
432,40.24,141.1,,53.0,78.74,56.9,0.8,1.8,61.1
458,43.14,142.7,,58.0,80.23,58.9,0.9,1.9,65.5
497,31.33,95.6,,43.4,82.41,63.4,0.6,1.4,47.7
507,28.56,85.3,,40.1,82.94,62.1,0.6,1.3,43.8
528,38.72,111.1,,56.1,83.94,64.4,0.8,1.8,60.6
547,43.72,121.1,,65.3,84.86,63.6,0.9,2.0,69.6
585,44.13,114.3,,69.8,86.70,64.5,1.0,2.1,72.8
678,106.45,237.9,,170.9,89.93,82.9,1.9,5.0,171.7
695,34.11,74.3,,54.7,90.50,85.6,0.6,1.6,54.6
792,43.95,84.1,,74.4,91.90,89.5,0.7,2.1,73.1
885,49.49,84.8,,88.5,93.16,95.8,0.8,2.5,85.7
952,56.17,89.4,,104.4,94.08,103.3,0.9,2.9,100.1
997,35.63,54.2,,67.9,94.69,105.3,0.6,1.9,64.7
"1,117",58.40,79.2,,114.1,95.48,111.8,0.9,3.2,107.8
"1,253",48.37,58.5,,97.1,96.35,117.1,0.7,2.7,90.8
"1,479",53.72,55.0,,112.5,97.79,120.0,0.8,3.0,103.7
"1,541",263.17,258.8,,557.8,98.19,120.2,5.9,15.0,511.7
"2,901",11.26,5.9,,26.6,104.00,36.5,0.7,0.7,23.0
"4,419",10.66,3.7,,25.5,106.10,41.0,0.6,0.6,21.6
"4,836",37.34,11.7,,89.4,106.62,38.1,3.3,2.2,75.4
"7,557",2.97,0.6,,7.3,109.94,12.0,0.6,0.2,6.0
"8,202",2.71,0.5,,6.8,110.64,11.4,0.6,0.2,5.5
"8,767",2.45,0.4,,6.3,111.25,9.1,0.7,0.1,5.0
"10,380",75.00,10.9,Upper Marker,200.6,113.00,156.0,3.2,0.0,159.3
"12,397",0.00,0.0,,5.2,115.18,9.4,0.6,0.0,4.1
"13,042",0.00,0.0,,4.9,115.88,8.5,0.7,0.0,3.8
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,5.1,0,126,0.9,4.80,57.6,32768
Region 2,59.90,90.65,"2,680.5",64,412,32.8,"1,869.99","8,040.2",255
Region 3,59.90,110.42,"4,176.5",99,"1,010",100.0,"2,664.58","8,951.1",16711680
 
 
Sample Name,L8576 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,44.6,43.00,93.2,1.2,0.0,98.1
275,438.38,"2,413.7",,346.3,66.66,79.2,7.0,15.1,479.9
301,68.05,342.0,,57.3,69.01,82.6,0.6,2.4,76.6
314,95.17,459.0,,82.7,70.03,81.6,0.9,3.4,108.9
327,202.44,938.6,,181.4,71.04,76.9,2.3,7.4,235.3
358,91.37,387.1,,88.1,73.53,65.7,1.2,3.5,110.3
396,44.83,171.7,,47.1,76.58,56.2,0.8,1.8,56.6
411,74.43,274.4,,79.7,77.56,56.4,1.3,3.0,94.4
440,35.71,123.0,,39.1,79.20,56.8,0.6,1.4,45.4
456,36.21,120.4,,40.2,80.08,58.6,0.6,1.4,46.0
477,34.09,108.4,,38.5,81.28,60.0,0.6,1.4,43.4
487,47.94,149.2,,54.5,81.85,61.8,0.8,1.9,61.0
518,47.35,138.6,,55.9,83.45,63.4,0.8,1.9,61.4
595,33.90,86.3,,45.0,87.17,65.4,0.6,1.5,47.2
635,51.99,124.0,,69.3,88.54,76.5,0.8,2.2,71.6
658,63.19,145.4,,84.1,89.30,123.8,0.8,2.7,86.1
822,59.28,109.3,,84.6,92.31,91.9,0.8,2.6,83.7
900,87.85,147.9,,131.2,93.37,103.0,1.2,4.0,128.2
965,61.25,96.1,,94.9,94.26,108.3,0.8,2.9,91.9
"1,044",59.85,86.9,,95.4,95.01,115.9,0.8,2.9,91.6
"1,224",83.90,103.8,,138.5,96.16,127.1,1.0,4.1,131.3
"1,300",53.28,62.1,,89.2,96.65,128.4,0.6,2.6,84.2
"1,425",60.49,64.3,,103.8,97.45,131.7,0.7,3.0,97.1
"1,502",49.61,50.1,,86.3,97.94,136.9,0.6,2.5,80.3
"1,696",375.99,335.9,,678.3,99.18,157.7,6.2,19.6,623.2
"3,214",11.22,5.3,,22.0,104.58,35.8,0.6,0.6,19.2
"3,884",10.79,4.2,,21.3,105.42,34.6,0.6,0.6,18.3
"4,413",15.89,5.5,,31.4,106.09,35.0,0.8,0.8,26.9
"4,907",16.04,5.0,,31.8,106.71,33.3,0.9,0.8,27.1
"5,683",15.43,4.1,,30.7,107.68,27.8,1.2,0.8,25.9
"6,529",12.63,2.9,,25.2,108.75,18.4,1.6,0.7,21.1
"7,885",2.99,0.6,,6.1,110.30,10.8,0.6,0.2,5.1
"8,540",3.67,0.7,,7.7,111.01,9.1,0.9,0.3,6.3
"10,380",75.00,10.9,Upper Marker,165.9,113.00,129.6,3.1,0.0,133.3
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,0.3,0,127,0.5,0.28,3.4,32768
Region 2,59.90,90.65,"2,624.7",61,417,32.5,"2,180.45","9,261.9",255
Region 3,59.90,110.42,"4,295.8",99,"1,054",100.0,"3,235.89","10,446.0",16711680
 
 
Sample Name,L8577 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,45.7,43.00,97.5,1.0,0.0,101.5
277,276.64,"1,512.6",,230.1,66.83,59.9,6.5,9.2,322.6
309,129.59,636.0,,116.4,69.59,68.4,1.6,4.5,156.5
313,89.69,433.9,,81.5,69.95,68.7,1.1,3.1,108.9
327,56.76,262.8,,53.4,71.08,67.6,0.7,2.0,70.2
336,50.92,229.8,,48.8,71.76,66.3,0.7,1.8,63.6
345,90.47,397.7,,88.7,72.48,64.5,1.3,3.3,114.2
360,41.88,176.1,,42.6,73.75,62.7,0.6,1.5,53.9
375,40.51,163.7,,42.6,74.93,58.1,0.7,1.5,53.0
391,33.06,128.0,,36.1,76.24,56.0,0.6,1.3,44.1
404,47.29,177.2,,52.8,77.19,55.8,0.9,1.8,63.7
447,38.33,130.0,,44.2,79.58,59.5,0.7,1.5,51.8
469,73.62,237.8,,86.5,80.85,63.3,1.3,2.8,99.6
488,40.71,126.3,,48.5,81.93,66.2,0.7,1.6,55.1
514,52.51,154.7,,64.6,83.29,69.2,0.9,2.1,72.1
537,37.90,106.9,,48.3,84.38,69.8,0.6,1.5,53.2
552,39.85,109.4,,51.9,85.10,70.4,0.7,1.6,56.7
575,33.51,88.2,,45.2,86.23,70.9,0.6,1.4,48.7
583,33.78,87.8,,46.1,86.59,71.7,0.6,1.4,49.5
617,73.07,179.5,,102.1,87.95,80.4,1.2,3.1,107.8
639,44.79,106.2,,62.5,88.67,85.9,0.7,1.9,65.4
680,92.12,205.4,,128.0,89.98,96.3,1.3,3.8,132.0
708,64.26,137.6,,89.5,90.75,102.2,0.8,2.6,91.6
768,60.68,119.8,,87.7,91.57,104.6,0.8,2.5,88.8
937,171.91,278.0,,274.2,93.87,126.7,2.2,7.8,270.9
"1,113",59.64,81.2,,100.8,95.45,136.6,0.7,2.8,97.8
"1,255",80.76,97.5,,140.3,96.36,145.6,0.9,3.9,134.9
"1,347",81.42,91.6,,143.9,96.95,145.7,0.9,3.9,137.5
"1,467",185.73,191.8,,335.9,97.72,146.2,2.2,9.1,318.4
"1,807",209.34,175.6,,403.1,99.89,125.9,4.8,10.7,373.6
"3,435",11.92,5.3,,24.5,104.86,39.2,0.6,0.6,21.6
"4,119",22.76,8.4,,47.0,105.72,40.9,1.1,1.2,41.1
"4,695",32.30,10.4,,66.8,106.44,38.6,1.9,1.7,58.0
"7,375",9.62,2.0,,20.3,109.74,14.2,1.6,0.5,17.1
"10,380",75.00,10.9,Upper Marker,173.4,113.00,131.0,2.8,0.0,141.7
"12,050",0.00,0.0,,10.9,114.81,13.4,1.0,0.0,8.7
"13,051",0.00,0.0,,7.2,115.89,8.2,0.9,0.0,5.8
"13,928",0.00,0.0,,3.4,116.84,6.3,0.6,0.0,2.7
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,0.4,0,127,0.4,0.43,5.1,32768
Region 2,59.90,90.65,"2,383.6",57,439,30.6,"1,831.91","7,324.3",255
Region 3,59.90,110.42,"4,144.0",99,"1,085",100.0,"2,884.73","8,546.7",16711680
 
 
Sample Name,L8578 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,47.2,43.00,101.2,1.1,0.0,105.2
292,435.29,"2,261.8",,394.0,68.13,75.1,8.3,13.6,543.1
299,53.91,273.5,,49.6,68.77,77.1,0.6,1.7,67.8
314,56.07,270.3,,53.6,70.04,77.5,0.6,1.8,71.9
331,87.05,398.9,,86.6,71.35,77.5,1.0,2.9,113.9
343,77.23,341.1,,79.2,72.35,74.4,1.0,2.6,102.6
356,48.81,207.7,,51.6,73.40,70.1,0.7,1.6,65.8
364,40.19,167.1,,43.3,74.08,68.2,0.6,1.4,54.8
380,53.66,213.8,,60.0,75.35,65.1,0.9,1.9,74.5
442,48.00,164.7,,58.0,79.29,65.5,0.8,1.7,68.3
472,41.92,134.5,,51.8,81.02,69.6,0.7,1.5,59.7
486,42.90,133.6,,53.6,81.83,72.8,0.7,1.5,61.2
499,37.56,114.0,,47.4,82.56,73.6,0.6,1.3,53.6
509,49.83,148.4,,63.8,83.01,76.3,0.8,1.8,71.7
529,72.83,208.5,,96.3,84.01,79.2,1.1,2.7,106.9
553,42.15,115.5,,57.8,85.15,78.3,0.7,1.6,63.3
574,50.73,134.0,,71.7,86.14,81.2,0.8,1.9,77.6
627,114.37,276.5,,167.7,88.28,96.1,1.7,4.4,177.0
722,211.83,444.2,,312.8,90.95,120.6,2.6,8.0,320.2
752,52.86,106.4,,79.5,91.36,124.3,0.6,2.0,81.0
942,236.32,380.0,,397.2,93.95,159.3,2.5,9.8,393.3
"1,154",171.88,225.7,,307.5,95.72,181.1,1.6,7.5,298.7
"1,239",96.63,118.2,,175.7,96.26,186.5,0.9,4.2,169.7
"1,502",81.86,82.6,,156.5,97.94,190.0,0.8,3.7,148.5
"1,630",321.02,298.5,,628.5,98.76,182.1,5.3,14.8,591.3
"3,811",16.88,6.7,,36.5,105.33,39.4,0.9,0.8,32.2
"4,498",56.19,18.9,,122.0,106.20,41.4,3.8,2.7,106.5
"7,198",7.08,1.5,,15.6,109.55,14.7,1.1,0.3,13.2
"8,244",3.44,0.6,,7.8,110.69,9.7,0.8,0.3,6.6
"10,380",75.00,10.9,Upper Marker,182.1,113.00,116.9,4.2,0.0,149.3
"13,144",0.00,0.0,,4.5,115.99,7.0,0.7,0.0,3.6
"14,316",0.00,0.0,,2.8,117.26,5.4,0.6,0.0,2.2
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,0.6,0,126,0.8,0.56,6.7,32768
Region 2,59.90,90.65,"2,783.3",56,437,31.2,"2,035.87","8,235.5",255
Region 3,59.90,110.42,"4,923.8",99,"1,055",98.6,"3,254.50","9,681.4",16711680
 
 
Sample Name,L8579 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,52.4,43.00,106.8,1.1,0.0,117.0
94,3.86,62.0,,1.9,50.10,5.2,0.8,0.1,3.7
126,9.74,117.1,,5.4,53.10,10.0,1.5,0.2,9.6
261,93.87,545.8,,77.5,65.35,26.0,4.8,2.7,111.8
272,34.59,192.9,,29.4,66.35,29.9,1.0,1.0,41.7
287,34.11,180.1,,30.1,67.71,35.2,0.8,1.0,41.8
300,35.70,180.6,,32.4,68.85,37.9,0.8,1.1,44.3
316,30.54,146.4,,28.9,70.17,38.9,0.7,0.9,38.7
349,24.01,104.2,,24.6,72.86,38.3,0.6,0.8,31.7
387,23.25,91.0,,26.0,75.91,37.6,0.6,0.8,32.1
419,31.76,114.9,,37.1,78.00,40.4,0.9,1.1,44.5
472,40.06,128.6,,48.7,81.00,47.7,1.0,1.3,56.3
487,37.85,117.7,,46.6,81.87,49.8,0.9,1.3,53.2
499,31.07,94.3,,38.6,82.55,52.7,0.7,1.0,43.7
517,52.55,154.0,,67.1,83.42,54.7,1.1,1.8,75.2
539,44.41,124.9,,58.6,84.46,57.1,1.0,1.5,64.9
556,37.84,103.1,,51.2,85.28,57.9,0.8,1.3,56.2
593,34.09,87.2,,48.8,87.06,63.4,0.7,1.2,52.3
664,133.03,303.7,,191.4,89.47,84.6,2.4,4.7,199.7
744,126.74,258.1,,186.6,91.24,103.0,1.8,4.5,190.8
"1,665",899.59,818.6,,"1,744.6",98.98,327.7,8.1,39.0,"1,641.2"
"1,865",731.40,594.3,,"1,471.0",100.26,326.9,7.9,32.4,"1,365.9"
"6,002",3.93,1.0,,8.4,108.08,11.4,0.9,0.2,7.3
"6,654",3.24,0.7,,7.0,108.90,7.9,1.1,0.1,6.0
"10,380",75.00,10.9,Upper Marker,179.2,113.00,118.9,3.6,0.0,147.2
"12,943",0.00,0.0,,3.2,115.78,5.7,0.8,0.0,2.6
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,14.1,0,127,9.6,14.21,170.1,32768
Region 2,59.90,90.65,"1,642.1",33,463,29.3,"1,197.23","4,546.1",255
Region 3,59.90,110.42,"4,917.0",99,"1,431",65.1,"3,031.10","6,399.5",16711680
 
 
Sample Name,L8580 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,46.7,43.00,96.6,1.1,0.0,104.1
124,4.34,53.0,,2.7,52.93,6.0,1.1,0.2,4.9
275,164.62,908.3,,160.3,66.61,38.3,7.3,7.2,226.5
294,79.49,409.8,,81.1,68.34,44.4,1.8,3.5,111.6
317,45.27,216.4,,48.9,70.25,47.6,1.0,2.1,65.4
327,46.79,217.1,,51.7,71.03,47.7,1.0,2.2,68.4
337,26.62,119.7,,30.1,71.85,47.2,0.6,1.3,39.4
357,39.57,167.9,,47.0,73.49,46.1,1.0,1.9,60.0
376,24.20,97.5,,30.0,74.99,43.8,0.6,1.2,37.5
403,32.27,121.4,,42.3,77.09,43.0,0.9,1.6,51.5
461,33.35,109.7,,45.8,80.37,47.2,0.9,1.7,53.3
511,32.91,97.7,,47.3,83.10,54.2,0.8,1.7,53.3
529,25.47,72.9,,37.7,84.02,54.6,0.6,1.3,42.0
558,22.94,62.3,,35.5,85.38,55.3,0.6,1.2,38.8
658,93.10,214.2,,152.5,89.30,75.8,2.1,5.1,159.5
687,35.20,77.7,,57.5,90.21,85.3,0.6,1.9,59.5
769,72.95,143.8,,124.1,91.58,92.9,1.3,4.0,126.4
"1,470",443.35,457.1,,943.7,97.73,204.7,5.7,28.6,899.6
"1,627",96.99,90.3,,212.6,98.74,220.3,0.9,6.4,200.5
"1,819",77.24,64.3,,175.4,99.97,224.8,0.7,5.2,163.4
"1,912",269.47,213.5,,622.1,100.56,213.3,4.7,18.3,576.0
"4,509",50.43,16.9,,122.6,106.21,44.7,4.8,3.4,107.4
"8,655",1.70,0.3,,4.4,111.13,7.8,0.6,0.0,3.7
"10,380",75.00,10.9,Upper Marker,203.9,113.00,128.2,4.8,0.0,167.6
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,2.8,0,124,0.9,2.48,30.2,32768
Region 2,59.90,90.65,"1,747.7",42,447,30.3,"1,129.97","4,450.7",255
Region 3,59.90,110.42,"4,098.6",99,"1,312",83.6,"2,298.73","5,697.9",16711680
 
 
Sample Name,L8581 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,51.0,43.00,106.0,1.1,0.0,112.9
126,7.87,95.0,,4.6,53.06,11.8,0.7,0.2,8.1
277,290.40,"1,589.6",,261.4,66.80,64.4,7.4,7.8,366.4
291,105.01,546.8,,97.8,68.08,70.9,1.3,2.9,134.5
317,59.16,282.7,,58.7,70.26,74.4,0.7,1.7,78.2
332,62.43,284.6,,64.3,71.49,72.6,0.8,1.8,84.1
343,72.65,321.4,,76.7,72.31,71.2,1.0,2.1,99.1
363,42.21,176.2,,46.7,73.95,67.4,0.6,1.3,59.0
370,55.25,226.1,,62.2,74.54,67.5,0.9,1.7,77.9
385,55.52,218.5,,64.6,75.72,65.7,0.9,1.7,79.6
393,35.64,137.5,,42.2,76.36,65.4,0.6,1.1,51.6
403,38.25,143.9,,46.1,77.09,66.6,0.6,1.2,55.8
424,44.58,159.5,,54.7,78.27,69.1,0.7,1.4,65.1
475,139.98,446.5,,178.6,81.19,80.8,2.1,4.4,205.0
516,75.87,222.8,,101.2,83.37,88.6,1.0,2.4,113.0
551,53.97,148.4,,75.9,85.05,90.0,0.8,1.8,83.1
669,205.92,466.2,,309.6,89.65,128.4,2.5,6.9,321.0
695,84.44,184.2,,126.6,90.47,137.5,0.9,2.8,130.1
"1,209",555.89,696.6,,"1,034.2",96.07,243.0,5.0,21.4,999.3
"1,494",173.51,176.0,,340.8,97.89,272.3,1.2,6.9,323.0
"1,651",87.60,80.4,,177.1,98.89,275.0,0.6,3.6,166.2
"1,708",517.20,458.8,,"1,056.8",99.25,277.9,5.3,21.1,987.7
"3,212",31.79,15.0,,70.5,104.58,58.4,1.2,1.3,62.5
"4,081",60.28,22.4,,134.3,105.67,49.5,4.3,2.5,117.8
"7,733",4.68,0.9,,10.8,110.13,11.0,1.0,0.0,9.1
"10,380",75.00,10.9,Upper Marker,187.2,113.00,115.8,3.8,0.0,153.3
"13,405",0.00,0.0,,5.8,116.28,7.5,0.9,0.0,4.6
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,7.4,0,125,1.1,7.17,86.6,32768
Region 2,59.90,90.65,"2,840.3",48,449,30.3,"2,006.43","7,883.4",255
Region 3,59.90,110.42,"5,879.4",99,"1,172",84.6,"3,670.96","9,750.8",16711680
 
 
Sample Name,L8582 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
